cluster_id,keyphrases,classification
0,"['Support System Deficiency', 'Isolation and Abandonment', 'Unmet Need for Empathetic Guidance']",Barrier
1,"['Toxic Household Dynamics', 'Emotional Abuse and Gaslighting', 'Family Denial and Hostility']",Barrier
2,"['Physical Pain as a Barrier', 'Emotional and Physical Discomfort', 'Complexity of Recovery Process']",Barrier
3,"['Temptation and Accessibility', 'Immediate Risk of Relapse', 'Proximity to Substances']",Barrier
4,"['ADHD-Related Complications', 'Medication Side Effects Concerns', 'Fear of Losing Medication Support']",Barrier
5,"['Chronic Fatigue', 'Diminished Motivation', 'Physical and Emotional Exhaustion']",Barrier
6,"['Emotional Void Challenges', 'Psychological Barriers to Recovery', 'Internal Conflict and Relapse Risk']",Barrier
7,"['Substance Substitution Risk', 'Medication Management Difficulties', 'Dependency and Withdrawal Concerns']",Barrier
8,"['Adverse Medication Reactions', 'Medication Adherence Struggles', 'Treatment Accessibility Issues']",Barrier
9,"['Parenting Responsibilities', 'Medication Dependence for Caregiving', 'Impact of Recovery on Family Dynamics']",Barrier
10,"['Intrusive Thought Patterns', 'Negative Cognitive Processes', 'Mental Health and Recovery Interference']",Barrier
11,"['Ease of Substance Acquisition', 'Environmental Availability of Opioids', 'Accessibility as a Relapse Trigger']",Barrier
12,"['Inadequate Medical Support', 'Treatment Accessibility Issues', 'Lack of Structured Withdrawal Assistance']",Barrier
13,"['Emotional Barriers to Recovery', 'Guilt and Self-Reproach', 'Psychological Impact of Past Actions']",Barrier
14,"['Environmental Triggers', 'Risk of Relapse in Social Contexts', 'Challenges of Sobriety Maintenance']",Barrier
15,"['Emotional Distress and Mistrust', 'Impact of External Judgments', 'Psychological Turmoil and Relapse Risk']",Barrier
16,"['Challenges of Home Detoxification', 'Inadequate Medical Support', 'Uncertainty in Detox Effectiveness']",Barrier
17,"['Financial Stress and Instability', 'Economic Hardship as a Relapse Trigger', 'Financial Constraints and Recovery']",Barrier
18,"['Challenges in Time Management', 'Risks of Unstructured Time', 'Struggle for Mental Engagement']",Barrier
19,"['Physical and Psychological Discomfort', 'Persistent Symptoms as Barriers', 'Impact of Discomfort on Recovery']",Barrier
20,"['Misconceptions About Recovery', 'Avoidance of Support Communities']",Barrier
21,"['Direct Exposure to Triggers', 'Accidental Discovery of Substances', 'Risk of Relapse from Unexpected Encounters']",Barrier
22,"['Mental Health Deterioration', 'Medication Discontinuation Challenges', 'Dependency on Psychiatric Medications']",Barrier
23,"['Access to Professional Help', 'Financial Constraints on Therapy', 'Healthcare Coverage Limitations']",Barrier
24,"['Misconception of Controlled Use', 'Overconfidence in Substance Management', 'Underestimation of Addiction Risks']",Barrier
25,"['Drug Culture Immersion', 'Early Substance Exposure', 'Development of Substance Use Disorder']",Barrier
26,"['Insurance Coverage Loss', 'Eligibility for State Healthcare', 'Financial Barriers to Healthcare']",Barrier
27,"['Psychological Dependence', 'Compulsive Drug Use', 'Emotional Attachment to Euphoria']",Barrier
28,"['External Stressors', 'Harassment-Induced Distress', 'Emotional Turmoil and Relapse Risk']",Barrier
29,"['Persistent Withdrawal Symptoms', 'Chronic Discomfort', 'Symptom-Induced Relapse Risk']",Barrier
30,"['Negative Self-Perception', 'Emotional Distress', 'Low Self-Esteem']",Barrier
31,"['Mental Health Challenges', 'Emotional Instability', 'Psychological Distress']",Barrier
32,"['Treatment-Resistant Depression', 'Chronic Anhedonia', 'Ineffective Depression Management']",Barrier
33,"['Misguided Substance Use', 'Unanticipated Withdrawal', 'Compromised Decision-Making']",Barrier
34,"['Self-Harm Behaviors', 'Suicidal Ideation', 'Risky Coping Mechanisms']",Barrier
35,"['Medication Access Challenges', 'Insurance and Financial Constraints', 'Treatment Plan Disruptions']",Barrier
36,"['Financial Stability Concerns', 'Wealth as a Relapse Trigger', 'Economic Dilemmas in Sobriety']",Barrier
37,"['Medication Efficacy Concerns', 'Adverse Medication Effects', 'Challenges in Medication Management']",Barrier
38,"['Chronic Pain Management', 'Physical Discomfort as Relapse Trigger', 'Pain-Induced Quality of Life Impairment']",Barrier
39,"['Mistrust in Healthcare System', 'Medication Regimen Dissatisfaction', 'Psychiatric Misdiagnosis Complications']",Barrier
40,"['Emotional Regulation Difficulties', 'Societal Judgments on Emotion', 'Suppression of Emotional Expression']",Barrier
41,"['Psychological Struggle with Addiction', 'Internal Conflict and Rationalization', 'Continuous Battle for Sobriety']",Barrier
42,"['Risk-Taking and Curiosity', 'Underestimation of Substance Potency', 'Exploratory Behavior in Drug Use']",Barrier
43,"['Workplace Recovery Conflict', 'Employment Stability Concerns', 'Professional Responsibility and Withdrawal Management']",Barrier
44,"['Substitute Medication Ineffectiveness', 'Relapse Post-Substitution', 'Sobriety Sustainability Challenges']",Barrier
45,"['Trust Erosion in Relationships', 'Impulse Control and Ethics Struggles', 'Self-Trust and Relapse Risk']",Barrier
46,"['Substance Replacement Challenges', 'Dependence on Kratom', 'Barriers to Tapering and Discontinuation']",Barrier
47,"['Psychological Acceptance of Status Quo', 'Sense of Permanent Despair', 'Belief in Unchangeable Self']",Barrier
48,"['Drug-Related Dream Disturbances', 'Emotional Aftermath of Dreams', 'Subconscious Focus on Substance Use']",Barrier
49,"['Fear of Disclosure Through Insurance', 'Risk of Program Dismissal', 'Employment Threats Due to Medication']",Barrier
50,"['Chronic Insomnia', 'Sleep Disturbance During Stress', 'Persistent Sleeplessness']",Barrier
51,"['Emotional Distress Leading to Relapse', 'Traumatic Events Triggering Drug Use', 'Exploitation and Vulnerability Effects']",Barrier
52,"['Professional Consequences During Detox', 'Legal Non-Compliance Risks', 'Abrupt Termination from Treatment']",Barrier
53,"['Ease and Allure of Relapse', 'Temptation and Accessibility of Opioids', 'Internal Struggle with Cravings']",Barrier
54,"['Anxiety Management Challenges', 'Reliance on Physical Exercise', 'Hesitancy Towards Alternative Coping']",Barrier
55,"['Medication Management Complexity', 'Tapering Process Challenges', 'Dosage Adjustment Difficulties']",Barrier
56,"['Financial Autonomy Restrictions', 'Controlled Access to Resources', 'Economic Barriers to Recovery']",Barrier
57,"['Isolation and Relationship Strain', 'Loss of Emotional Support']",Barrier
58,"['Paranoia and Mental Health Challenges', 'Lifestyle and Trust Issues']",Barrier
59,"['Poly-substance Use Complications', 'Risk of Relapse from Concurrent Use', 'Substitution Strategy Issues']",Barrier
60,"['Need for Professional Therapy', 'Psychological Support Deficiency', 'Counseling Structure Absence']",Barrier
61,"['Nutritional Intake Challenges', 'Physical Health Impediments', 'Gastrointestinal and Appetite Issues']",Barrier
62,"['Social Disconnection', 'Emotional and Psychological Barriers', 'Negative Self-Perception']",Barrier
63,"['Occupational Stress and Sobriety', 'Work-Induced Relapse Risk', 'Professional Pressures and Recovery']",Barrier
64,"['Inability to Moderate Use', 'Challenges in Impulse Control', 'Reliance on External Support']",Barrier
65,"['Perceived Functional Enhancement', 'Contrast in Social Behavior']",Barrier
66,"['Trauma-Related Coping Mechanisms', 'Emotional Void Fulfillment']",Barrier
67,"['Methadone Tapering Challenges', 'Medication-Assisted Treatment Side Effects', 'Dependence and Relapse Risk']",Barrier
68,"['Emotional Instability Post-Quitting', 'Depression and Relapse Potential', 'Dopamine Production Disruption']",Barrier
69,"['Suboxone Dosage Limitations', 'Medication Side Effect Management', 'Buprenorphine Therapy Concerns']",Barrier
70,"['Emotional Distress from Relationship Turmoil', 'Interpersonal Stress as a Relapse Trigger', 'Challenges of Personal Support Networks']",Barrier
71,"['Stigma and Professional Consequences', 'Fear of Social Judgment', 'Career and Academic Risks']",Barrier
72,"['Substance Accessibility and Temptation', 'Economic Barriers to Recovery Resources', 'Legal and Environmental Constraints']",Barrier
73,"['Chronic Pain Management Challenges', 'Pain-Driven Relapse Risk', 'Alternative Pain Management Strategies']",Barrier
74,"['Medication Adherence Difficulties', 'Disrupted Tapering Process', 'Withdrawal Symptom Risks']",Barrier
75,"['Craving Management Challenges', 'Persistent Psychological Cravings', 'Relapse Risk Due to Cravings']",Barrier
76,"['Physical Discomfort During Withdrawal', 'Sleep Disruption Challenges', 'Withdrawal-Related Health Complications']",Barrier
77,"['Psychological Allure of Euphoria', 'Reward System Conditioning', 'Associative Pleasure Barriers']",Barrier
78,"['Dependency on Drug Supply', 'Unreliable Access to Opioids', 'Variability in Drug Quality']",Barrier
79,"['Physical Health Setbacks', 'Adrenal System Dysregulation', 'Symptomatic Challenges in Recovery']",Barrier
80,"['Emotional Dysregulation', 'Psychological Distress', 'Risk of Relapse']",Barrier
81,"['Environmental Triggers of Relapse', 'Support System Concerns', 'Structured Environment Loss']",Barrier
82,"['Withdrawal Symptom Severity', 'Physical and Psychological Pain', 'Detoxification Challenges']",Barrier
83,"['Fentanyl Contamination Risk', 'Potency and Purity Uncertainty', 'Accidental Overdose Danger']",Barrier
84,"['Social Stress and Discrimination', 'Identity-Related Conflict', 'Romantic Entanglement Stress']",Barrier
85,"['Fentanyl Dependence', 'Withdrawal Symptom Intensity', 'Tapering Difficulties']",Barrier
86,"['Surgery-Related Stress', 'Complex Health Challenges']",Barrier
87,"['Fear of Change', 'Anxiety About Future', 'Psychological Stressors']",Barrier
88,"['Healthcare System Navigation', 'COVID-19 Related Delays']",Barrier
89,"['Tapering Complications', 'Discomfort During Cessation']",Barrier
90,"['Cognitive Function Impairment', 'Mental Clarity Obstacles', 'Cognitive Dysfunction Persistence']",Barrier
91,"['Support and Motivation Deficiency', 'Resource and Preparation Needs']",Barrier
92,"['Cognitive Function Impairment', 'Challenges in Daily Functioning', 'Engagement in Recovery Activities']",Barrier
93,"['Negative Self-Perception', 'Emotional Triggers for Use', 'Self-Criticism and Self-Loathing']",Barrier
94,"['Emotional Trauma and Grief', 'Relapse Triggered by Loss', 'Coping with Bereavement']",Barrier
95,"['Sleep Disturbances', 'Restless Legs Syndrome', 'Withdrawal-Related Insomnia']",Barrier
96,"['Discontinuation of Medication', 'Withdrawal Symptom Management', 'Institutional Barriers to Treatment']",Barrier
97,"['Persistent Dealer Contact', 'Relapse Risk from Dealer Access', 'Challenges in Severing Dealer Ties']",Barrier
98,"['Emotional Distress in New Environments', 'Social Network Disruption', 'Environmental Transition Challenges']",Barrier
99,"['Social Anxiety and Isolation', 'Agoraphobia and Activity Limitation', 'Barriers to Group Support Participation']",Barrier
100,"['Substance Use as Coping Mechanism', 'Risk of Substance Cross-Addiction', 'Challenges in Achieving Complete Sobriety']",Barrier
101,"['Pandemic-induced isolation', 'Disruption of support and routine', 'Psychological distress and social withdrawal']",Barrier
102,"['Inadequate pain management', 'Ineffectiveness of alternative medications', 'Challenges in non-opioid pain relief']",Barrier
103,"['Transitioning between opioids', 'Complex poly-opioid dependence', 'Management of withdrawal symptoms']",Barrier
104,"['Tapering adherence difficulties', 'Withdrawal management challenges', 'Lack of tapering guidance']",Barrier
105,"['Severe dental and health issues', 'Pain-related opioid cravings', 'Compromised immune system challenges']",Barrier
106,"['Emotional attachment to pets', 'Reminders of past life', 'Loss of emotional support system']",Barrier
107,"['Distance from support systems', 'Proximity to enabling environments', 'Lack of local sober community']",Barrier
108,"['Access to medication-assisted treatment', 'Anxiety over treatment availability', 'Waiting times for treatment']",Barrier
109,"['Physical injuries and disabilities', 'Pain management post-injury', 'Limited physical functioning']",Barrier
110,"['Economic Hardship from Substance Use', 'Compulsive Financial Mismanagement', 'Resource Depletion for Drug Acquisition']",Barrier
111,"['Emotional Enmeshment with Substance Users', 'Codependency in Recovery Efforts', 'Relationship-Induced Recovery Hindrance']",Barrier
112,"['Environmental Stress from Childcare', 'Protective Concerns in Toxic Living Situations']",Barrier
113,"['Stress from Major Life Transitions', 'Social Isolation in New Environments', 'Relocation-Induced Recovery Challenges']",Barrier
114,"['Lack of Emotional Support in Relationships', 'Negative Influence of Significant Others', 'Relationship Strain on Recovery']",Barrier
115,"['Impatience with Recovery Timeline', 'Frustration with Recovery Challenges', 'Emotional Distress from Recovery Expectations']",Barrier
116,"['Persistent Physical Health Issues', 'Gastrointestinal Distress as a Recovery Obstacle', 'Chronic Discomfort Impeding Recovery']",Barrier
117,"['Substance Substitution Due to Unavailability', 'Relapse Triggered by Access Issues', 'Alternative Substance Seeking Behavior']",Barrier
118,"['Challenges in Medication Access', 'Prescription Transfer and Refill Barriers', 'Healthcare System Navigation Difficulties']",Barrier
119,"['Insurance Coverage Limitations', 'Financial Barriers to Treatment Access', 'Inadequate Insurance for Recovery Needs']",Barrier
120,"['Patterned Relapse on Specific Days', 'Weekend and Holiday Recovery Challenges', 'Stress-Induced Substance Use Cycles']",Barrier
121,"['Seasonal Emotional Triggers', 'Holiday-Related Stress', 'Risk of Relapse During Festivities']",Barrier
122,"['Minimization of Substance Use Risks', 'Cognitive Distortions in Risk Perception', 'Rationalization of Drug Use']",Barrier
123,"['Emotional Distress from Family Dynamics', 'Impact of Family Health Crises', 'Family-Related Emotional Barriers']",Barrier
124,"['Environmental Substance Availability', 'Triggering Presence of Opioids', 'Proximity to Drug Sources']",Barrier
125,"['Conflict with Social Norms', 'Stress of Complete Abstinence', 'Desire for Controlled Substance Use']",Barrier
126,"['Access to Detox Services', 'Impact of Facility Closures', 'Admission Policy Barriers']",Barrier
