Rank,count_pre,count_post,absolute_change,percentage_change,count_pre_normalized,count_post_normalized,absolute_change_normalized,percentage_change_normalized
1.0,40,53,13,32.5,0.006920415224913495,0.009939984996249063,0.003019569771335568,43.63
2.0,7,7,0,0.0,0.0012110726643598615,0.001312828207051763,0.00010175554269190143,8.4
3.0,14,17,3,21.43,0.002422145328719723,0.003188297074268567,0.0007661517455488441,31.63
4.0,8,11,3,37.5,0.001384083044982699,0.0020630157539384846,0.0006789327089557857,49.05
5.0,21,15,-6,-28.57,0.003633217993079585,0.002813203300825206,-0.0008200146922543788,-22.57
6.0,9,15,6,66.67,0.0015570934256055363,0.002813203300825206,0.0012561098752196698,80.67
7.0,22,10,-12,-54.55,0.0038062283737024223,0.0018754688672168042,-0.0019307595064856182,-50.73
8.0,7,5,-2,-28.57,0.0012110726643598615,0.0009377344336084021,-0.0002733382307514594,-22.57
9.0,71,62,-9,-12.68,0.012283737024221454,0.011627906976744186,-0.0006558300474772683,-5.34
10.0,16,18,2,12.5,0.002768166089965398,0.0033758439609902473,0.0006076778710248495,21.95
11.0,11,68,57,518.18,0.0019031141868512112,0.012753188297074268,0.010850074110223058,570.12
12.0,63,58,-5,-7.94,0.010899653979238755,0.010877719429857465,-2.1934549381289956e-05,-0.2
13.0,82,69,-13,-15.85,0.014186851211072665,0.012940735183795949,-0.0012461160272767158,-8.78
14.0,6,26,20,333.33,0.0010380622837370243,0.004876219054763691,0.0038381567710266667,369.74
15.0,9,6,-3,-33.33,0.0015570934256055363,0.0011252813203300824,-0.0004318121052754539,-27.73
16.0,136,108,-28,-20.59,0.023529411764705882,0.020255063765941484,-0.003274347998764398,-13.92
17.0,31,26,-5,-16.13,0.005363321799307958,0.004876219054763691,-0.00048710274454426706,-9.08
18.0,7,5,-2,-28.57,0.0012110726643598615,0.0009377344336084021,-0.0002733382307514594,-22.57
19.0,7,8,1,14.29,0.0012110726643598615,0.0015003750937734434,0.0002893024294135819,23.89
20.0,14,8,-6,-42.86,0.002422145328719723,0.0015003750937734434,-0.0009217702349462796,-38.06
21.0,15,9,-6,-40.0,0.0025951557093425604,0.0016879219804951237,-0.0009072337288474367,-34.96
22.0,121,100,-21,-17.36,0.020934256055363323,0.018754688672168042,-0.0021795673831952814,-10.41
23.0,7,9,2,28.57,0.0012110726643598615,0.0016879219804951237,0.0004768493161352622,39.37
24.0,18,26,8,44.44,0.0031141868512110727,0.004876219054763691,0.0017620322035526185,56.58
25.0,41,30,-11,-26.83,0.0070934256055363324,0.005626406601650412,-0.0014670190038859202,-20.68
26.0,179,231,52,29.05,0.03096885813148789,0.04332333083270818,0.012354472701220292,39.89
27.0,15,16,1,6.67,0.0025951557093425604,0.003000750187546887,0.0004055944782043264,15.63
28.0,9,7,-2,-22.22,0.0015570934256055363,0.001312828207051763,-0.0002442652185537734,-15.69
29.0,10,14,4,40.0,0.0017301038062283738,0.002625656414103526,0.0008955526078751521,51.76
30.0,64,58,-6,-9.38,0.011072664359861591,0.010877719429857465,-0.0001949449300041265,-1.76
31.0,53,29,-24,-45.28,0.00916955017301038,0.005438859714928732,-0.003730690458081648,-40.69
32.0,19,10,-9,-47.37,0.00328719723183391,0.0018754688672168042,-0.001411728364617106,-42.95
33.0,8,3,-5,-62.5,0.001384083044982699,0.0005626406601650412,-0.0008214423848176577,-59.35
34.0,26,35,9,34.62,0.004498269896193772,0.006564141035258815,0.002065871139065043,45.93
35.0,64,52,-12,-18.75,0.011072664359861591,0.009752438109527382,-0.001320226250334209,-11.92
36.0,24,23,-1,-4.17,0.004152249134948097,0.00431357839459865,0.00016132925965055278,3.89
37.0,5,5,0,0.0,0.0008650519031141869,0.0009377344336084021,7.26825304942152e-05,8.4
38.0,36,37,1,2.78,0.006228373702422145,0.006939234808702175,0.00071086110628003,11.41
39.0,7,4,-3,-42.86,0.0012110726643598615,0.0007501875468867217,-0.0004608851174731398,-38.06
40.0,59,33,-26,-44.07,0.010207612456747405,0.0061890472618154535,-0.004018565194931952,-39.37
